,brand,mile,name,fuel,price,year,model,location,color
6725,벤츠,72329,GLC-클래스 X253,디젤,3550,2016,GLC220 d 4MATIC 프리미엄,경기,검정색
6726,재규어,124848,All New XJ,디젤,3390,2017,3.0D 프리미엄 럭셔리 SWB,경기,검정색
6727,벤츠,31625,E-클래스 W213,가솔린,6574,2020,E300 4MATIC 익스클루시브,경기,검정색
6728,미니,6287,쿠퍼 SD 컨트리맨,디젤,4400,2020,ALL4,서울,검정색
6729,미니,10034,쿠퍼 S 컨트리맨,가솔린,4400,2020,JCW,서울,검정색
6730,렉서스,23216,NX300h,가솔린+전기,4450,2019,이그제큐티브,서울,검정색
6731,랜드로버,42665,레인지로버 4세대,가솔린,7800,2014,5.0 SC Vogue SE,서울,검정색
6732,폭스바겐,36814,티구안 2세대,디젤,3040,2020,2.0 TDI 프리미엄,경기,검정색
6733,람보르기니,6776,우라칸,가솔린,28600,2020,에보 5.2 RWD,경기,검정색
6734,벤츠,127920,CLA-클래스 C117,디젤,1650,2015,CLA200 CDI,인천,검정색
6735,벤츠,19597,E-클래스 W213,디젤,4969,2019,E220d 아방가르드,경기,검정색
6736,캐딜락,12235,ATS,가솔린,2750,2018,2.0 프리미엄,경기,검정색
6737,BMW,209874,X5 (E70),디젤,1550,2011,xDrive 30d,경기,검정색
6738,BMW,117169,X5 (F15),디젤,4090,2016,xDrive 30d,경기,검정색
6739,렉서스,97435,LS460,가솔린,3350,2013,AWD,경기,검정색
6740,벤츠,103885,S-클래스 W222,가솔린,6250,2016,S500L 4MATIC,경기,검정색
6741,지프,75853,그랜드 체로키,디젤,2580,2014,3.0 디젤 오버랜드,경기,검정색
6742,랜드로버,192527,레인지로버,가솔린,1590,2009,4.2 Supercharged,경기,검정색
6743,BMW,236464,5시리즈 GT (F07),가솔린,1100,2011,GT,경기,검정색
6744,벤츠,30920,E-클래스 W213,가솔린,7990,2019,E450 4MATIC 카브리올레,경남,검정색
6745,포드,81858,익스플로러,가솔린,2890,2017,2.3 리미티드 4WD,경기,검정색
6746,포드,81858,익스플로러,가솔린,2890,2017,2.3 리미티드 4WD,경기,검정색
6747,BMW,143669,7시리즈 (G11),디젤,4799,2016,730Ld xDrive,경기,검정색
6748,마세라티,80515,콰트로포르테,가솔린,7560,2017,S Q4 3.0 V6 그란스포츠,경기,검정색
6749,아우디,64754,S7,가솔린,4099,2013,4.0 TFSI 콰트로,경기,검정색
6750,아우디,17409,A4 (B9),가솔린,3749,2020,40 TFSI 프리미엄,경기,검정색
6751,벤츠,68306,E-클래스 W213,디젤,3799,2017,E220d 아방가르드,경기,검정색
6752,랜드로버,183785,레인지로버 스포츠,디젤,2450,2013,3.0 SDV6,경기,검정색
6753,벤츠,94828,C-클래스 W205,가솔린,2030,2015,C200,경기,검정색
6754,벤츠,68017,CLA-클래스 C117,가솔린,2699,2018,CLA220 AMG Line,경기,검정색
6755,벤츠,123738,S-클래스 W222,가솔린,5099,2014,S500L,경기,검정색
6756,포르쉐,143112,911,가솔린,2990,2007,카레라 4S,경기,검정색
6757,벤츠,151562,S-클래스 W222,가솔린,3720,2015,S500L,경기,검정색
6758,BMW,128842,5시리즈 GT (F07),디젤,2899,2015,GT 30d xDrive,경기,검정색
6759,아우디,189246,Q7,디젤,2390,2015,35 TDI 콰트로,인천,검정색
6760,벤츠,83614,E-클래스 W213,가솔린,3820,2017,E300 아방가르드,경기,검정색
