,brand,name,type,km,year,accident,color,location,price,wd,trim
523,현대,쏘나타,LPG,368992,2018,무사고,검정색,광주,848,2WD,1.0
524,현대,쏘나타,가솔린,95177,2015,무사고,검정색,경기,1370,2WD,2.0
527,현대,제네시스,가솔린,101305,2015,무사고,검정색,경기,2220,2WD,2.0
528,현대,그랜저,가솔린,125697,2009,무사고,검정색,경기,280,2WD,1.0
529,현대,쏘나타,가솔린,100915,2017,무사고,검정색,경기,1170,2WD,1.0
530,현대,그랜저,가솔린,141187,2015,무사고,검정색,부산,1050,2WD,1.0
531,현대,그랜저,가솔린,106799,2018,무사고,검정색,경기,1570,2WD,1.0
532,현대,쏘나타,LPG,113979,2017,무사고,검정색,경기,1050,2WD,1.0
534,현대,그랜저,가솔린,184298,2011,무사고,검정색,경기,699,2WD,2.0
537,현대,베뉴,가솔린,9483,2020,무사고,검정색,서울,1969,2WD,1.0
