,name,brand,color,fuel,accident,price,mile,model
7104,더 뉴 K3 2세대,기아,검정색,가솔린,무사고,2480,2793,시그니처
7105,포터2 CRDi 카고,현대,흰색,디젤,무사고,2180,11249,초장축 더블캡프리미엄
7106,더 뉴 스포티지 R,기아,흰색,디젤,무사고,1330,108053,디젤 2WD 프레스티지
7107,5시리즈 (F10),BMW,쥐색,가솔린,무사고,2850,68819,528i
7108,쏘나타 DN8,현대,흰색,가솔린,무사고,2570,15488,2.0 가솔린프리미엄 패밀리
7109,더 뉴 레이,기아,진주색,가솔린,무사고,1450,23440,프레스티지
7110,쏘나타 뉴 라이즈,현대,쥐색,디젤,무사고,1700,43121,1.7 디젤 스마트
7111,뉴 A6 (C7),아우디,흰색,디젤,무사고,1780,104594,2.0 TDI 다이나믹C7
7112,쏘렌토 4세대,기아,검정색,디젤,무사고,3970,33772,디젤 2.2 2WD시그니처
7113,그랜저 IG,현대,검정색,가솔린,무사고,1930,103086,2.4 프리미엄세부등급 없음
7114,QM6,르노삼성,쥐색,가솔린,무사고,1950,76723,가솔린 2WD RE
7115,K7 프리미어,기아,흰색,가솔린,무사고,3450,19190,가솔린 3.0시그니처
7116,SM7 노바,르노삼성,검정색,LPG,단순교환,1410,38399,LPLI 2.0 LPe세부등급없음
7117,뉴 QM6,르노삼성,쥐색,LPG,무사고,2990,20675,LPG 2.0 (일반인 판매용)프리미에르
7118,SM6,르노삼성,흰색,가솔린,단순사고(접촉),1530,41465,1.6 TCe LE
7119,더 뉴 K5 2세대,기아,은색,가솔린,무사고,1860,19259,2.0프레스티지
7120,더 뉴 K5,기아,청색,가솔린,무사고,1320,84094,터보 GDI 노블레스
7121,니로,기아,쥐색,가솔린+전기,무사고,1920,71224,프레스티지
7122,싼타페 TM,현대,흰색,디젤,단순사고(접촉),2920,36023,디젤 2.0 2WD프레스티지
7123,더 뉴 쏘렌토,기아,흰색,디젤,단순사고(접촉),2740,48847,디젤 2.0 2WD노블레스
7124,싼타페 TM,현대,진주색,디젤,무사고,3390,39414,디젤 2.2 4WD인스퍼레이션
7125,파사트 GT (B8),폭스바겐,은색,디젤,무사고,3830,5713,TDI 프레스티지
7126,5시리즈 GT (F07),BMW,흰색,디젤,무사고,3080,92325,GT 30d xDrive 럭셔리
7127,싼타페 TM,현대,흰색,디젤,무사고,3360,8132,디젤 2.0 2WD인스퍼레이션
7128,그랜저 IG 하이브리드,현대,흰색,가솔린+전기,단순교환,2650,103629,익스클루시브스페셜
7129,올 뉴 K7,기아,진주색,가솔린,무사고,1960,51626,3.3 GDI 노블레스세부등급 없음
7130,싼타페 더 프라임,현대,흰색,디젤,무사고,1990,89203,디젤 2.0 2WD익스클루시브
7131,말리부,쉐보레(GM대우),은색,가솔린,단순교환,910,27225,2.0 LTZ
7132,아반떼 AD,현대,흰색,가솔린,무사고,1450,54497,1.6 GDI 모던세부등급 없음
7133,QM6,르노삼성,흰색,디젤,무사고,1910,86314,디젤 4WD RE 시그니처
7134,그랜저 HG,현대,진주색,가솔린,무사고,1680,60557,HG240 모던
7135,뉴SM5 플래티넘,르노삼성,쥐색,가솔린,단순사고(접촉),720,94890,1.6 TCE기본형
7136,그랜저 HG,현대,검정색,가솔린,단순교환,1380,81938,HG240 모던 컬렉션
7137,K7 프리미어 하이브리드,기아,흰색,가솔린+전기,무사고,3690,36553,시그니쳐
7138,그랜저 HG 하이브리드,현대,흰색,가솔린+전기,단순교환,1830,79222,프리미엄
7139,K5 2세대,기아,진주색,가솔린,단순교환,1590,67443,2.0 MX스타일 에디션
7140,아반떼 AD,현대,흰색,가솔린,단순교환,1420,40002,1.6 GDI 밸류 플러스
7141,뉴 쏘렌토 R,기아,은색,디젤,단순교환,1460,79535,디젤 2.0 2WD프레스티지
7142,더 뉴 니로,기아,쥐색,가솔린+전기,무사고,2250,21905,럭셔리
7143,뉴 A3 (8V),아우디,흰색,디젤,단순교환,1940,55387,35 TDI 다이나믹 스포트백8V
7144,아반떼 MD,현대,은색,가솔린,단순교환,640,80790,M16 GDI 럭셔리
7145,C-클래스 W205,벤츠,쥐색,디젤,무사고,3190,48416,C220 d 4MATIC
7146,코란도 투리스모,쌍용,은색,디젤,무사고,1720,45049,4WD TX 11인승
7147,아반떼 AD,현대,흰색,가솔린,무사고,1150,111219,1.6 GDI 스마트스페셜
7148,더 뉴 니로,기아,흰색,가솔린+전기,무사고,2450,18257,프레스티지
7149,1시리즈 (F20),BMW,주황색,디젤,단순교환,1780,72050,118d 스포츠 5도어
7150,더 뉴 모닝,기아,쥐색,가솔린,무사고,850,25799,럭셔리
7151,더 뉴 쏘렌토,기아,진주색,디젤,무사고,2970,24804,디젤 2.0 2WD노블레스
7152,더 뉴 카니발,기아,검정색,디젤,무사고,2560,65749,9인승 프레스티지
7153,K5 2세대,기아,청색,LPG,단순교환,1420,66255,LPI SX노블레스
7154,올 뉴 모닝,기아,진주색,가솔린,단순교환,530,102831,럭셔리 스포츠
7155,티구안 2세대,폭스바겐,흰색,디젤,무사고,3640,9304,2.0 TDI 프레스티지
7156,쏘나타 DN8,현대,은회색,가솔린,무사고,2630,29986,2.0 가솔린프리미엄 밀레니얼
